#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
289	7.035774	11.153618	10.392791	14.510634	9.677812	13.490770	-8.149291	-4.031447	-4.792274	-0.674431	-12.392073	-8.579115	
290	6.759860	10.877704	10.273515	14.391359	9.537017	13.349974	-8.030015	-3.912172	-4.516361	-0.398517	-11.957581	-8.144623	
291	6.479891	10.597734	10.149428	14.267272	9.389045	13.202003	-7.905929	-3.788085	-4.236391	-0.118547	-11.517329	-7.704371	
292	6.196177	10.314020	10.020466	14.138309	9.233723	13.046681	-7.776966	-3.659122	-3.952677	0.165167	-11.071848	-7.258891	
293	5.909031	10.026874	9.886567	14.004411	9.070883	12.883841	-7.643068	-3.525224	-3.665531	0.452313	-10.621669	-6.808712	
294	5.618767	9.736610	9.747678	13.865521	8.900365	12.713322	-7.504178	-3.386334	-3.375267	0.742577	-10.167324	-6.354366	
295	5.325699	9.443543	9.603747	13.721590	8.722014	12.534972	-7.360247	-3.242403	-3.082199	1.035644	-9.709342	-5.896384	
296	5.030142	9.147986	9.454729	13.572573	8.535688	12.348645	-7.211229	-3.093386	-2.786642	1.331201	-9.248254	-5.435296	
297	4.732410	8.850254	9.300587	13.418430	8.341250	12.154208	-7.057087	-2.939243	-2.488910	1.628933	-8.784587	-4.971629	
298	4.432817	8.550660	9.141286	13.259130	8.138577	11.951535	-6.897786	-2.779943	-2.189317	1.928527	-8.318864	-4.505906	
299	4.131674	8.249517	8.976802	13.094646	7.927555	11.740512	-6.733303	-2.615459	-1.888174	2.229670	-7.851605	-4.038647	
300	3.829292	7.947136	8.807117	12.924961	7.708080	11.521038	-6.563617	-2.445774	-1.585793	2.532051	-7.383326	-3.570368	
301	3.525983	7.643826	8.632220	12.750064	7.480063	11.293021	-6.388721	-2.270877	-1.282483	2.835361	-6.914534	-3.101577	
302	3.222052	7.339896	8.452110	12.569954	7.243427	11.056385	-6.208611	-2.090767	-0.978552	3.139291	-6.445734	-2.632776	
303	2.917807	7.035650	8.266795	12.384639	6.998107	10.811065	-6.023295	-1.905452	-0.674307	3.443537	-5.977420	-2.164462	
