#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
115	-6.744640	-6.780785	10.801114	10.764970	7.606929	7.575077	-6.189450	-6.225595	11.356304	11.320160	8.414484	8.382631	
116	-6.737228	-6.773373	10.875236	10.839092	7.710699	7.678846	-6.263572	-6.299716	11.348892	11.312748	8.399660	8.367808	
117	-6.730393	-6.766537	10.943593	10.907449	7.806398	7.774546	-6.331929	-6.368074	11.342056	11.305912	8.385990	8.354137	
118	-6.724137	-6.760282	11.006145	10.970001	7.893970	7.862118	-6.394481	-6.430625	11.335801	11.299657	8.373480	8.341627	
119	-6.718467	-6.754611	11.062854	11.026710	7.973361	7.941509	-6.451190	-6.487334	11.330130	11.293986	8.362139	8.330287	
120	-6.713383	-6.749528	11.113685	11.077541	8.044524	8.012671	-6.502021	-6.538166	11.325047	11.288903	8.351975	8.320122	
121	-6.708891	-6.745035	11.158609	11.122465	8.107415	8.075562	-6.546945	-6.583089	11.320555	11.284411	8.342992	8.311140	
122	-6.704992	-6.741136	11.197598	11.161453	8.161995	8.130142	-6.585934	-6.622078	11.316656	11.280512	8.335198	8.303345	
123	-6.701689	-6.737833	11.230628	11.194484	8.208232	8.176379	-6.618964	-6.655108	11.313353	11.277209	8.328598	8.296745	
124	-6.698984	-6.735128	11.257680	11.221535	8.246093	8.214241	-6.646016	-6.682160	11.310648	11.274503	8.323199	8.291346	
125	-6.696878	-6.733022	11.278737	11.242593	8.275550	8.243697	-6.667073	-6.703217	11.308542	11.272398	8.319011	8.287158	
126	-6.695373	-6.731517	11.293787	11.257643	8.296553	8.264700	-6.682123	-6.718267	11.307037	11.270893	8.316067	8.284215	
127	-6.694470	-6.730614	11.302821	11.266676	8.308876	8.277023	-6.691157	-6.727301	11.306134	11.269989	8.314585	8.282732	
128	-6.694169	-6.730313	11.305832	11.269688	8.277023	8.277023	-6.694169	-6.730313	11.305832	11.269688	8.312007	8.280154	
129	-6.691157	-6.727301	11.306134	11.269989	8.314585	8.282732	-6.694470	-6.730614	11.302821	11.266676	8.308876	8.277023	
130	-6.682123	-6.718267	11.307037	11.270893	8.316067	8.284215	-6.695373	-6.731517	11.293787	11.257643	8.296553	8.264700	
131	-6.667073	-6.703217	11.308542	11.272398	8.319011	8.287158	-6.696878	-6.733022	11.278737	11.242593	8.275550	8.243697	
132	-6.646016	-6.682160	11.310648	11.274503	8.323199	8.291346	-6.698984	-6.735128	11.257680	11.221535	8.246093	8.214241	
133	-6.618964	-6.655108	11.313353	11.277209	8.328598	8.296745	-6.701689	-6.737833	11.230628	11.194484	8.208232	8.176379	
134	-6.585934	-6.622078	11.316656	11.280512	8.335198	8.303345	-6.704992	-6.741136	11.197598	11.161453	8.161995	8.130142	
135	-6.546945	-6.583089	11.320555	11.284411	8.342992	8.311140	-6.708891	-6.745035	11.158609	11.122465	8.107415	8.075562	
136	-6.502021	-6.538166	11.325047	11.288903	8.351975	8.320122	-6.713383	-6.749528	11.113685	11.077541	8.044524	8.012671	
137	-6.451190	-6.487334	11.330130	11.293986	8.362139	8.330287	-6.718467	-6.754611	11.062854	11.026710	7.973361	7.941509	
138	-6.394481	-6.430625	11.335801	11.299657	8.373480	8.341627	-6.724137	-6.760282	11.006145	10.970001	7.893970	7.862118	
139	-6.331929	-6.368074	11.342056	11.305912	8.385990	8.354137	-6.730393	-6.766537	10.943593	10.907449	7.806398	7.774546	
140	-6.263572	-6.299716	11.348892	11.312748	8.399660	8.367808	-6.737228	-6.773373	10.875236	10.839092	7.710699	7.678846	
141	-6.189450	-6.225595	11.356304	11.320160	8.414484	8.382631	-6.744640	-6.780785	10.801114	10.764970	7.606929	7.575077	
142	-6.109609	-6.145754	11.364288	11.328144	8.430452	8.398599	-6.752625	-6.788769	10.721273	10.685129	7.495152	7.463299	
